Subject,Group,TimeTop,TimeBottom,TimeNearConspecific,TimeNearEmptyTank,Speed,AbsoluteTurnAngle,Freezing
A1,CTRL,55,399,231,129,7,28,11
A2,CTRL,25,274,225,48,6,26,7
A3,CTRL,65,369,261,138,8,21,4
A4,CTRL,100,353,239,197,4,23,14
A5,CTRL,70,367,335,91,8,26,1
A6,CTRL,80,465,170,258,9,25,0
A7,CTRL,122,309,243,123,11,24,3
A8,CTRL,238,182,295,62,9,26,0
A9,CTRL,222,249,283,33,8,32,0
A10,CTRL,180,192,285,125,8,26,0
B1,MK-212,185,217,330,81,8,28,2
B2,MK-212,198,211,399,370,7,24,1
B3,MK-212,71,391,451,202,5,23,10
B4,MK-212,240,164,355,79,7,25,0
B5,MK-212,167,292,316,130,4,20,0
B6,MK-212,44,203,310,271,8,24,8
B7,MK-212,173,221,315,106,5,33,0
B8,MK-212,203,170,485,95,8,29,3
B9,MK-212,399,60,342,94,6,17,2
B10,MK-212,103,272,438,11,5,26,1
C1,RS-102221,45,404,63,67,8,23,5
C2,RS-102221,70,444,103,31,6,25,1
C3,RS-102221,62,395,300,142,4,22,2
C4,RS-102221,232,210,56,322,10,24,0
C5,RS-102221,89,311,127,70,7,24,2
C6,RS-102221,73,373,157,36,9,24,0
C7,RS-102221,108,277,265,130,9,23,0
C8,RS-102221,173,279,48,156,7,26,1
C10,RS-102221,154,255,283,124,7,27,0
